name,population,zcta
Charlotte County,468,23963
Charlotte County,903,23964
Prince Edward County,2010,23966
Charlotte County,1495,23967
Mecklenburg County,671,23968
Mecklenburg County,8109,23970
Lunenburg County,4582,23974
Charlotte County,97,23976
Roanoke city,784,24011
Roanoke city,28235,24012
Roanoke city,8026,24013
Roanoke County,15300,24014
Roanoke city,15865,24015
Roanoke city,10521,24016
Roanoke city,23678,24017
Roanoke County,38720,24018
Roanoke County,28585,24019
Roanoke County,583,24020
Roanoke city,0,24022
Patrick County,2414,24053
Henry County,5957,24054
Henry County,11814,24055
Pulaski County,281,24058
Roanoke County,893,24059
Montgomery County,48541,24060
Montgomery County,9202,24061
Bedford County,4875,24064
Franklin County,6565,24065
Botetourt County,4963,24066
Franklin County,2371,24067
Pittsylvania County,1861,24069
Roanoke County,1271,24070
Floyd County,1238,24072
Montgomery County,29677,24073
Patrick County,801,24076
Botetourt County,943,24077
Henry County,6438,24078
Floyd County,1389,24079
Patrick County,291,24082
Botetourt County,4948,24083
Pulaski County,10604,24084
Botetourt County,2391,24085
Giles County,263,24086
Montgomery County,3941,24087
Franklin County,5017,24088
Henry County,2265,24089
Botetourt County,4521,24090
Floyd County,7417,24091
Franklin County,3368,24092
Giles County,102,24093
Bedford County,3962,24095
Franklin County,6185,24101
Franklin County,1291,24102
Bedford County,3163,24104
Floyd County,426,24105
Henry County,31028,24112
Patrick County,1591,24120
Bedford County,10315,24121
Bedford County,1492,24122
Giles County,4042,24124
Craig County,4392,24127
Giles County,1450,24128
Pulaski County,114,24129
Craig County,10,24131
Pulaski County,694,24132
Patrick County,2219,24133
Giles County,5400,24134
Giles County,3145,24136
Franklin County,2767,24137
Montgomery County,1432,24138
Pittsylvania County,654,24139
Pulaski County,21484,24141
Radford city,2205,24142
Giles County,1352,24147
Henry County,8355,24148
Montgomery County,3986,24149
Giles County,883,24150
Franklin County,18154,24151
Roanoke County,38914,24153
Pittsylvania County,703,24161
Montgomery County,2259,24162
Henry County,1875,24165
Giles County,275,24167
Henry County,204,24168
Patrick County,8268,24171
Bedford County,2191,24174
Botetourt County,8128,24175
Franklin County,1586,24176
Bedford County,18773,24179
Franklin County,4527,24184
Patrick County,894,24185
Bristol city,15903,24201
Washington County,12389,24202
Washington County,16814,24210
Washington County,10298,24211
Wise County,2246,24216
Dickenson County,474,24217
Wise County,10450,24219
Dickenson County,503,24220
Lee County,633,24221
Russell County,5273,24224
Russell County,1791,24225
Dickenson County,2110,24226
Dickenson County,6317,24228
Wise County,6900,24230
Washington County,3109,24236
Dickenson County,1064,24237
Buchanan County,38,24239
Lee County,1452,24243
Scott County,5600,24244
Scott County,1053,24245
Wise County,78,24246
Lee County,2207,24248
Scott County,1268,24250
Scott County,7937,24251
Dickenson County,2982,24256
Scott County,1163,24258
Russell County,5318,24260
Lee County,5830,24263
Lee County,1140,24265
Russell County,8688,24266
Dickenson County,209,24269
Washington County,416,24270
Scott County,2525,24271
Dickenson County,316,24272
Wise County,5593,24273
Lee County,5839,24277
Wise County,4671,24279
Russell County,784,24280
Lee County,1890,24281
Lee County,1181,24282
Wise County,1832,24283
Scott County,2274,24290
Grayson County,555,24292
Wise County,9786,24293
Pulaski County,13567,24301
Smyth County,1526,24311
Carroll County,1650,24312
Wythe County,806,24313
Bland County,1324,24314
Bland County,3978,24315
Tazewell County,46,24316
Carroll County,3409,24317
Bland County,376,24318
Smyth County,6997,24319
Wythe County,124,24322
Wythe County,798,24323
Pulaski County,2298,24324
Carroll County,979,24325
Grayson County,858,24326
Washington County,598,24327
Carroll County,1915,24328
Grayson County,2982,24330
Grayson County,17390,24333
Washington County,6111,24340
Carroll County,9210,24343
Pulaski County,1677,24347
Grayson County,4855,24348
Wythe County,1130,24350
Carroll County,562,24351
Carroll County,1381,24352
Smyth County,13001,24354
Wythe County,5750,24360
Washington County,4484,24361
Grayson County,1031,24363
Bland County,466,24366
Wythe County,5574,24368
Smyth County,5766,24370
Wythe County,411,24374
Smyth County,1711,24375
Tazewell County,569,24377
Grayson County,1056,24378
Floyd County,3088,24380
Carroll County,3091,24381
Wythe County,14582,24382
Augusta County,38756,24401
Augusta County,2,24411
Bath County,205,24412
Highland County,251,24413
Rockbridge County,90,24415
Rockbridge County,9082,24416
Augusta County,3450,24421
Alleghany County,5334,24422
Alleghany County,13872,24426
Augusta County,3109,24430
Augusta County,2176,24431
Augusta County,544,24432
Highland County,88,24433
Rockbridge County,1764,24435
Augusta County,1468,24437
Rockbridge County,1124,24439
Augusta County,2710,24440
Augusta County,6520,24441
Highland County,68,24442
Bath County,2332,24445
Alleghany County,420,24448
Rockbridge County,17714,24450
Alleghany County,425,24457
Highland County,244,24458
Augusta County,535,24459
Bath County,1119,24460
Nelson County,190,24464
