NAME,H1_001N,zip code tabulation area
ZCTA5 33604,16870,33604
ZCTA5 33605,8160,33605
ZCTA5 33606,10483,33606
ZCTA5 33607,12278,33607
ZCTA5 33609,8837,33609
ZCTA5 33610,17376,33610
ZCTA5 33611,17988,33611
ZCTA5 33612,20912,33612
ZCTA5 33613,18262,33613
ZCTA5 33614,19959,33614
ZCTA5 33615,19747,33615
ZCTA5 33616,7085,33616
ZCTA5 33617,20537,33617
ZCTA5 33618,12249,33618
ZCTA5 37643,16064,37643
ZCTA5 37645,2370,37645
ZCTA5 37650,5991,37650
ZCTA5 37656,1712,37656
ZCTA5 37657,519,37657
ZCTA5 37658,2158,37658
ZCTA5 37659,12770,37659
ZCTA5 37660,20106,37660
ZCTA5 37663,6431,37663
ZCTA5 37664,13299,37664
ZCTA5 37665,2573,37665
ZCTA5 37680,372,37680
ZCTA5 37681,2814,37681
ZCTA5 37682,33,37682
ZCTA5 37683,5715,37683
ZCTA5 37686,3946,37686
ZCTA5 37687,2603,37687
ZCTA5 37688,583,37688
ZCTA5 37690,1882,37690
ZCTA5 37691,466,37691
ZCTA5 37692,2267,37692
ZCTA5 37694,821,37694
ZCTA5 37701,3987,37701
ZCTA5 37705,2360,37705
ZCTA5 37708,3535,37708
ZCTA5 37709,1723,37709
ZCTA5 37710,508,37710
ZCTA5 37711,2370,37711
ZCTA5 37713,710,37713
ZCTA5 37714,2154,37714
ZCTA5 37715,404,37715
ZCTA5 37716,11546,37716
ZCTA5 37719,70,37719
ZCTA5 37721,5757,37721
ZCTA5 37722,3527,37722
ZCTA5 37723,502,37723
ZCTA5 37724,1404,37724
ZCTA5 37725,8836,37725
ZCTA5 37726,968,37726
ZCTA5 33705,14073,33705
ZCTA5 33706,13589,33706
ZCTA5 33707,15885,33707
ZCTA5 33708,12911,33708
ZCTA5 33709,14484,33709
ZCTA5 33710,15724,33710
ZCTA5 33711,8967,33711
ZCTA5 33712,12036,33712
ZCTA5 33713,15295,33713
