Zip,Population,Count,Density,Region
23147,22,0,0.0,Central/East VA - Richmond Area
23148,1471,0,0.0,Central/East VA - Richmond Area
23149,2414,4,16.57,Central/East VA - Richmond Area
23150,12544,6,4.7832,Central/East VA - Richmond Area
23153,1586,1,6.3052,Central/East VA - Richmond Area
23156,1158,0,0.0,Central/East VA - Richmond Area
23160,1186,0,0.0,Central/East VA - Richmond Area
23161,337,0,0.0,Central/East VA - Richmond Area
23163,78,0,0.0,Central/East VA - Richmond Area
23168,9673,24,24.8113,Central/East VA - Richmond Area
23169,1104,0,0.0,Central/East VA - Richmond Area
23173,2107,289,1371.6184,Central/East VA - Richmond Area
23175,2053,4,19.4837,Central/East VA - Richmond Area
23176,677,0,0.0,Central/East VA - Richmond Area
23177,608,0,0.0,Central/East VA - Richmond Area
23180,479,3,62.6305,Central/East VA - Richmond Area
23181,5565,2,3.5939,Central/East VA - Richmond Area
23185,55270,266,48.1274,Central/East VA - Richmond Area
23188,45803,135,29.4741,Central/East VA - Richmond Area
23192,6629,2,3.017,Central/East VA - Richmond Area
23219,4062,191,470.2117,Central/East VA - Richmond Area
23220,34671,467,134.6947,Central/East VA - Richmond Area
23221,14402,187,129.8431,Central/East VA - Richmond Area
23222,26322,112,42.55,Central/East VA - Richmond Area
23223,54659,213,38.9689,Central/East VA - Richmond Area
23224,40575,70,17.252,Central/East VA - Richmond Area
23225,42771,174,40.6818,Central/East VA - Richmond Area
23226,15477,162,104.6714,Central/East VA - Richmond Area
23227,24925,79,31.6951,Central/East VA - Richmond Area
23228,36527,135,36.959,Central/East VA - Richmond Area
23229,35689,233,65.2862,Central/East VA - Richmond Area
23230,8910,231,259.2593,Central/East VA - Richmond Area
23231,38544,88,22.8311,Central/East VA - Richmond Area
23233,31582,163,51.6117,Central/East VA - Richmond Area
23234,47465,71,14.9584,Central/East VA - Richmond Area
23235,33461,265,79.1967,Central/East VA - Richmond Area
23236,27903,185,66.3011,Central/East VA - Richmond Area
23237,27126,17,6.2671,Central/East VA - Richmond Area
23238,26050,73,28.023,Central/East VA - Richmond Area
23284,2362,39,165.1143,Central/East VA - Richmond Area
23294,20216,139,68.7574,Central/East VA - Richmond Area
23298,98,12,1224.4898,Central/East VA - Richmond Area
23301,1804,11,60.9756,Central/East VA - Hampton Roads/Tidewater
23302,111,0,0.0,Central/East VA - Hampton Roads/Tidewater
23303,342,1,29.2398,Central/East VA - Hampton Roads/Tidewater
23304,45,0,0.0,Central/East VA - Hampton Roads/Tidewater
23306,1729,1,5.7837,Central/East VA - Hampton Roads/Tidewater
23307,701,0,0.0,Central/East VA - Hampton Roads/Tidewater
23308,2370,0,0.0,Central/East VA - Hampton Roads/Tidewater
23310,5031,11,21.8644,Central/East VA - Hampton Roads/Tidewater
23314,10099,14,13.8628,Central/East VA - Hampton Roads/Tidewater
23315,1391,1,7.1891,Central/East VA - Hampton Roads/Tidewater
